,Symbol,Low,Open,Price,Volume,High,Change,Date
4,GUARANTY,44.5,44.5,44.65,0,44.7,0.15,3/21/2018
5,GUARANTY,44.5,45.3,44.5,0,45.1,-0.8,3/20/2018
6,GUARANTY,45.0,44.9,45.3,0,46.0,0.4,3/19/2018
7,GUARANTY,44.1,45.4,44.9,0,45.3,-0.5,3/16/2018
8,GUARANTY,45.5,47.3,45.65,0,46.4,-1.65,3/15/2018
9,GUARANTY,44.95,47.3,47.3,0,47.3,0.0,3/14/2018
0,GUARANTY,47.25,47.55,47.3,0,48.5,-0.25,3/13/2018
1,GUARANTY,47.1,47.7,47.55,0,48.5,-0.15,3/12/2018
2,GUARANTY,47.7,49.0,47.7,0,48.25,-1.3,3/9/2018
3,GUARANTY,47.0,47.6,49.0,0,49.0,1.4,3/8/2018
4,GUARANTY,47.0,48.5,47.6,0,48.5,-0.9,3/7/2018
5,GUARANTY,48.15,49.35,48.5,0,49.0,-0.85,3/6/2018
6,GUARANTY,48.0,48.5,49.35,0,49.4,0.85,3/5/2018
7,GUARANTY,48.15,48.0,48.5,0,48.5,0.5,3/2/2018
8,GUARANTY,48.0,49.0,48.0,0,49.15,-1.0,3/1/2018
9,GUARANTY,48.95,49.0,49.0,0,49.1,0.0,2/28/2018
0,GUARANTY,48.45,49.35,49.0,0,49.35,-0.35,2/27/2018
1,GUARANTY,48.5,48.6,49.35,0,49.5,0.75,2/26/2018
2,GUARANTY,48.1,48.0,48.6,0,48.6,0.6,2/23/2018
3,GUARANTY,47.15,47.25,48.0,0,49.0,0.75,2/21/2018
4,GUARANTY,46.7,47.5,47.25,0,47.45,-0.25,2/20/2018
5,GUARANTY,46.5,46.5,47.5,0,47.5,1.0,2/19/2018
6,GUARANTY,46.3,47.5,46.5,0,46.95,-1.0,2/16/2018
7,GUARANTY,46.2,47.35,46.5,0,46.5,-0.85,2/15/2018
8,GUARANTY,45.0,45.6,45.6,0,45.7,0.0,2/14/2018
9,GUARANTY,45.45,47.8,45.6,0,45.6,-2.2,2/13/2018
0,GUARANTY,45.6,48.0,45.6,0,48.0,-2.4,2/12/2018
1,GUARANTY,47.5,49.0,48.0,0,48.95,-1.0,2/9/2018
2,GUARANTY,48.8,48.95,49.0,0,49.0,0.05,2/8/2018
3,GUARANTY,47.0,48.95,48.95,0,49.0,0.0,2/7/2018
4,GUARANTY,48.95,50.9,48.95,0,49.0,-1.95,2/6/2018
5,GUARANTY,49.0,49.15,49.3,0,49.3,0.15,2/5/2018
6,GUARANTY,49.0,49.05,49.0,0,49.05,-0.05,2/2/2018
7,GUARANTY,49.0,49.15,49.05,0,49.15,-0.1,2/1/2018
8,GUARANTY,48.75,49.0,49.15,0,49.15,0.15,1/31/2018
9,GUARANTY,48.75,48.7,48.95,0,49.15,0.25,1/30/2018
0,GUARANTY,48.7,49.0,48.7,0,49.05,-0.3,1/29/2018
1,GUARANTY,48.8,49.87,49.0,0,49.05,-0.87,1/26/2018
2,GUARANTY,49.02,50.9,49.87,0,50.0,-1.03,1/25/2018
3,GUARANTY,50.0,50.0,50.9,0,51.0,0.9,1/24/2018
4,GUARANTY,50.84,53.51,52.0,0,53.0,-1.51,1/23/2018
5,GUARANTY,53.0,54.71,53.51,0,57.0,-1.2,1/22/2018
6,GUARANTY,50.26,52.11,54.71,0,54.71,2.6,1/19/2018
7,GUARANTY,50.5,51.15,52.11,0,53.7,0.96,1/18/2018
8,GUARANTY,49.86,51.0,51.15,0,51.15,0.15,1/17/2018
9,GUARANTY,50.0,50.1,51.0,0,51.5,0.9,1/16/2018
0,GUARANTY,47.15,49.5,50.1,0,50.1,0.6,1/15/2018
1,GUARANTY,47.16,49.61,49.0,0,51.0,-0.61,1/12/2018
2,GUARANTY,48.9,47.25,49.61,0,49.61,2.36,1/11/2018
3,GUARANTY,45.5,44.98,47.25,0,47.25,2.27,1/10/2018
4,GUARANTY,44.0,44.0,44.98,0,45.0,0.98,1/9/2018
5,GUARANTY,43.07,43.0,44.0,0,44.0,1.0,1/8/2018
6,GUARANTY,42.35,42.0,43.0,0,43.01,1.0,1/5/2018
7,GUARANTY,40.81,41.0,42.34,0,42.35,1.34,1/4/2018
8,GUARANTY,40.61,40.55,40.8,0,40.9,0.25,1/3/2018
9,GUARANTY,39.05,40.75,40.55,0,40.55,-0.2,1/2/2018
0,GUARANTY,40.66,40.53,40.75,0,41.65,0.22,12/29/2017
1,GUARANTY,40.29,40.5,40.5,0,40.5,0.0,12/27/2017
2,GUARANTY,39.86,40.5,40.5,0,40.5,0.0,12/22/2017
3,GUARANTY,39.9,40.5,40.5,0,40.5,0.0,12/21/2017
4,GUARANTY,39.95,39.9,40.5,0,40.5,0.6,12/20/2017
5,GUARANTY,39.9,40.0,39.9,0,40.0,-0.1,12/19/2017
6,GUARANTY,39.2,39.8,40.0,0,40.0,0.2,12/18/2017
7,GUARANTY,39.03,40.0,39.8,0,40.03,-0.2,12/15/2017
8,GUARANTY,39.9,39.9,40.0,0,40.0,0.1,12/14/2017
9,GUARANTY,39.9,41.9,39.9,0,42.0,-2.0,12/13/2017
0,GUARANTY,41.67,41.65,41.9,0,42.0,0.25,12/12/2017
1,GUARANTY,41.65,42.0,41.65,0,42.5,-0.35,12/11/2017
2,GUARANTY,42.0,42.01,42.0,0,42.9,-0.01,12/8/2017
3,GUARANTY,42.01,43.05,42.01,0,43.44,-1.04,12/7/2017
4,GUARANTY,42.9,43.0,43.05,0,43.3,0.05,12/6/2017
5,GUARANTY,42.5,42.7,43.0,0,43.45,0.3,12/5/2017
6,GUARANTY,42.6,42.01,42.7,0,43.0,0.69,12/4/2017
7,GUARANTY,42.42,42.55,43.0,0,43.0,0.45,11/30/2017
8,GUARANTY,42.02,42.05,42.55,0,42.55,0.5,11/29/2017
9,GUARANTY,42.0,42.05,42.05,0,42.05,0.0,11/28/2017
